leverage,initial_balance,total_signals,executed_trades,rejected_margin,rejected_min_lot_risk,rejected_equity_depleted,ending_equity,net_return_pct,max_drawdown_pct,mean_actual_risk_pct,max_actual_risk_pct,mean_risk_distortion,max_risk_distortion
500,5,759,0,759,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
500,10,759,0,86,673,0,10.0,0.0,0.0,126.74928677563153,344.7699999999986,253.49857355126306,689.5399999999972
500,25,759,0,0,759,0,25.0,0.0,0.0,51.60782608695656,137.90799999999945,103.21565217391311,275.8159999999989
500,50,759,0,0,759,0,50.0,0.0,0.0,25.80391304347828,68.95399999999972,51.60782608695656,137.90799999999945
500,100,759,0,0,759,0,100.0,0.0,0.0,12.90195652173914,34.47699999999986,25.80391304347828,68.95399999999972
500,250,759,0,0,759,0,250.0,0.0,0.0,5.160782608695655,13.790799999999944,10.32156521739131,27.581599999999888
500,500,759,0,0,759,0,500.0,0.0,0.0,2.5803913043478275,6.895399999999972,5.160782608695655,13.790799999999944
500,1000,759,111,0,648,0,2550.270000000001,155.0270000000001,28.74212629896082,1.0400790344113255,2.567762845523461,2.080158068822651,5.135525691046922
500,1500,759,453,0,306,0,13532.909999999994,802.1939999999995,31.577236841144295,0.5308565228273284,1.1684212817517807,1.0617130456546569,2.3368425635035615
500,2000,759,621,0,138,0,25145.65999999999,1157.2829999999994,32.198858263835746,0.44769744946913176,0.8311270069828434,0.8953948989382635,1.6622540139656867
500,2500,759,718,0,41,0,40984.87,1539.3948000000003,32.93135599493795,0.4225728055568811,0.6351084345902308,0.8451456111137621,1.2702168691804616
500,3000,759,750,0,9,0,49113.21000000001,1537.1070000000002,32.85620991044987,0.4184611093992863,0.5309107990672344,0.8369222187985726,1.0618215981344687
500,5000,759,759,0,0,0,94568.84999999999,1791.377,33.908696735823426,0.4501725725544754,0.49995885112339294,0.9003451451089508,0.9999177022467859
2000,5,759,0,0,759,0,5.0,0.0,0.0,258.0391304347828,689.5399999999972,516.0782608695656,1379.0799999999945
2000,10,759,0,0,759,0,10.0,0.0,0.0,129.0195652173914,344.7699999999986,258.0391304347828,689.5399999999972
2000,25,759,0,0,759,0,25.0,0.0,0.0,51.60782608695656,137.90799999999945,103.21565217391311,275.8159999999989
2000,50,759,0,0,759,0,50.0,0.0,0.0,25.80391304347828,68.95399999999972,51.60782608695656,137.90799999999945
2000,100,759,0,0,759,0,100.0,0.0,0.0,12.90195652173914,34.47699999999986,25.80391304347828,68.95399999999972
2000,250,759,0,0,759,0,250.0,0.0,0.0,5.160782608695655,13.790799999999944,10.32156521739131,27.581599999999888
2000,500,759,0,0,759,0,500.0,0.0,0.0,2.5803913043478275,6.895399999999972,5.160782608695655,13.790799999999944
2000,1000,759,111,0,648,0,2550.270000000001,155.0270000000001,28.74212629896082,1.0400790344113255,2.567762845523461,2.080158068822651,5.135525691046922
2000,1500,759,453,0,306,0,13532.909999999994,802.1939999999995,31.577236841144295,0.5308565228273284,1.1684212817517807,1.0617130456546569,2.3368425635035615
2000,2000,759,621,0,138,0,25145.65999999999,1157.2829999999994,32.198858263835746,0.44769744946913176,0.8311270069828434,0.8953948989382635,1.6622540139656867
2000,2500,759,718,0,41,0,40984.87,1539.3948000000003,32.93135599493795,0.4225728055568811,0.6351084345902308,0.8451456111137621,1.2702168691804616
2000,3000,759,750,0,9,0,49113.21000000001,1537.1070000000002,32.85620991044987,0.4184611093992863,0.5309107990672344,0.8369222187985726,1.0618215981344687
2000,5000,759,759,0,0,0,94568.84999999999,1791.377,33.908696735823426,0.4501725725544754,0.49995885112339294,0.9003451451089508,0.9999177022467859
